Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
Veil of Light,Sculptures,00533,Frederick Hart,,21 in,20th Century,sculpture; nude woman; #3/350
La Mystereuse,Sculptures,00537,Erte,Bronze,14 in,,sculpture; woman; standing; gown; Signed; #57/250
Mandala - Cremation Scene (with Man and Woman),Sculptures,00258,Nepalese,Bronze; copper,,14th Century,"sculpture, man, woman"
Standing female figure,Sculptures,00775,Bambara; Mali,wood,20.5 in,,carving; African; nude woman; headdress
Virgin Mary,Sculptures,00873,Tyree Guyton,Ceramic paint,24 x 15 in,1995-1996,sculpture; Virgin Mary; woman; standing; religious
Antique Tibetan gold colored Buddha,Sculptures,00775,Tibet,Metal,6 in,,sculpture; Buddha; sitting
Russet Brown Basket Set with Ironwood Lip Wrap,Sculptures,00872,Dale Chihuly,Glass," 9 x 16 in, y: 11 in",,Sculpture
Bronze Sculpture Painted Gold Color,Sculptures,00565,Henry Klar; Gloria Klar,Bronze,18 in,20th Century,sculpture; modern art; figure; standing; no markings.
Bodhisattva with painted face,Sculptures,00258,Asian,Bronze,23 in,16th Century,"sculpture, seated figure, Buddhism"
Adam,Sculptures,00538,John Patrick Kelly,Bronze,22 in (with base),,sculpture; nude man; Signature inside left leg; Edition Number 1/15
Christ Twiste,Sculptures,00693,Salvador Dali,Bronze,39 15/16 x 26 3/8 in,1976,sculpture; abstract; editions 205/450 and 225/450
Woman Holding Young Boy,Sculptures,00240,,Metal; porcelain,13.5 x 11 x 7 in,20th Century,sculpture; woman; kneeling; boy; Signed Tyche Tosca; also signed G. Galletti
Imagen de Bulto con la Representacion de un Fraile | Monk,Sculptures,00481,Mexico,Carved wood; polychrome,110.00 x 50.00 cm,18th Century,sculpture; religious; man; robe; monk; non
Bull's Head,Sculptures,01160,Iraq,Bronze,,,sculpture; bull
Portrait of Julius Caesar,Sculptures,00218,Anonymous,Basalt,26.70 x 19.40 cm,1st Century BC,"sculpture; bust; portrait; Caesar; nose, right upper lip, area between nose and lip, lower chin, and right back section of neck broken off; lower right lip damaged, rims of ears chipped. minor abrasions and scratches over entire bust."
Sky Dance,Sculptures,00539,Don Dufva,Bronze,18 in,,sculpture; eagle; flying; #10/12
Painful Virgin (Dolorosa),Sculptures,00480,Mexico,Wood polychrome gilt,111.00 x 51.00 x 33.00 cm,17th Century,sculpture; religious; woman; standing; Virgin Mary
La Seringue,Sculptures,01122,Jean Dubuffet,Polyester,69 x 16 in,1967,sculpture; abstract art; signed
Abstract Framed Sculpture in Green and Purple,Sculptures,00900,Anthony Quinn,Wood,28 x 22 in,1981-1982,sculpture; abstract art; green; purple; not signed
Christ of St. John on the Cross,Sculptures,00306,Salvador Dali,Bronze; silver,12 x 6 in,Birth/Death Dates,"sculpture; Jesus Christ; #30/350, signed Salvador Dali"
Nature Unveiling Herself Before Science,Sculptures,00063,Louis Ernest Barrias,Bronze; gilt; silver; ivory,23.5 in,Circa 1920,sculpture; nude woman; standing; cloak; Inscribed E. Barrias/Susse Frerer Editrs with impressed circular foundry mark
Centurion,Sculptures,00122,Igor Mitoraj; Italy,Bronze,8 x 5 in,1989,sculpture; bust; man; fragment; blue; signed
Raindancer,Sculptures,00534,Tom Bennett,Bronze,30 x 20 x 9 in,,sculpture; nude woman; dancing; unsigned; #107 stamped on bottom
Feline,Sculptures,00334,Steve Varner,Bronze,9 in,,sculpture; nude woman; Edition #7/50
Abstract Sculpture in Pakistan Onyx,Sculptures,00565,Gloria Klar,Onyx,30 in,20th Century,"sculpture; abstract art; white; Signed ""Gloria K"""
Bearded Clay Head,Sculptures,01049,,Clay,11.5 x 8.8 x 7.8 cm,,sculpture; head; man; beard
Muted Olive Macchia with Kings Blue Lip Wrap,Sculptures,00872,Dale Chihuly,Glass,Height: 10 in.; Width: 20 in.; Depth: 12 in.,,Sculpture
Diana the Huntress,Sculptures,00827,Juan Olaguibel,Bronze,40 x 22 in,20th Century,sculpture; Diana; nude woman; standing; bow
Buddha (Korean),Sculptures,00072,Korea,Bronze; Iron,37 in,1980,sculpture; Asian; Buddha; sitting
Winning,Sculptures,00334,R. J. Stiles,Bronze,22 in,,sculpture; nude woman; running; Edition #3/30
Huntress,Sculptures,00293,Ting Shao Kuang,Bronze,20 in,1990,Sculpture; woman; #76/250
Black and White Marble Abstract Sculpture,Sculptures,00565,Henry Klar; Gloria Klar,Marble,24 x 18 in,20th Century,sculpture; abstract art; white; No markings.
"Figure in Form of Musical Instrument #6 ""Stock""",Sculptures,00408,John Rood,Bronze,44 x 22 x 9 in,1969,sculpture; modern art; musical instrument; John Rood logo on back of figure with date 1969
Sandow the Strong Man,Sculptures,00783,N. Muller's Son & Co.,Cast iron,Height: 17 in.,1894,On back of base
Boy With Frog,Sculptures,00908,Adolf Sehring,Bronze,,1993,"sculpture; boy; sitting; frog; ""A. Sehring""; #44 of 45"
Diana Wounded,Sculptures,00127,Sir Edgar Bertram MacKennal,Bronze,37 cm,1905,sculpture; nude woman; standing; bandage; Signed and dated 1905
Figura Piedra Caliza Policromada,Sculptures,00401,Egypt,,23.80 cm,1292 - 1190 BC,sculpture; Egyptian; figure; standing; hieroglyphics
Standing female figure with incised patterns on torso,Sculptures,00775,Bambara; Mali,Carved wood,15 7/8 in,,carving; African; figure; nude woman
Red Soft Cylinder with Naples Yellow and White Drawings,Sculptures,00872,Dale Chihuly,Glass,Height: 9 in.; Width: 10 in.; Depth: 9 in.,,Sculpture
Night Table,Sculptures,00693,Salvador Dali,20th Century,,,sculpture; night table with open door sitting next to smaller night table; edition 5/8
Dancing Six Arm Diety,Sculptures,00258,Nepalese,Bronze gilt,,16th Century,"sculpture, standing figure, Hinduism"
Reflector Shape,Sculptures,00175,Wolfgang Pogzeba,Bronze,50 x 42 x 25 cm,1971,"sculpture; abstract art; Signed on back ""Wolf Pogzeba '71"""
Nagoya Scene,Sculptures,00964,Gensuke Kozuka,Wood carved,11.5 x 94 x 1 in,1964,sculpture; panel; Asian; mountains; trees; buildings
Elephant Spatial,Sculptures,00156,Salvador Dali,Bronze,94 cm,1980,sculpture; abstract; #328 of 350; blue patina
Artist's Life,Sculptures,00355,Giancarlo Biagi,Bronze,19.25 in,1989,sculpture; man; sitting; boat; guitar; Foundry Mark
Figurine of Woman holding an Amphora beside figure of Eros,Sculptures,01049,,Clay,,,sculpture; woman; standing; amphora; Eros
"Large Labradorite Kingfisher Sculpture, Carnelian Jade and Agate",Sculptures,00911,Zadora Limited,Labradorite; Carnelian; Jade; Gold; Agate,,20th Century,"sculpture; kingfisher; fish; ""Zadora"" signature and possible engraved goldsmith initials"
St. Donat de Munstereifel,Sculptures,00958,,Wood; Polychrome,62 cm,1750-1850,statue; religious; man; standing
Citrine Sphere,Sculptures,00361,Andreas von Zadora Gerlof,Citrine,Diameter,,
Buffalo Sculpture,Sculptures,00452,Roy Lennberg,Wood,10 in,,sculpture; buffalo
"Woman's Head from larger statue, with Red Hair pulled to a bun",Sculptures,01049,,,5.4 x 3.3 cm,,sculpture; head; woman; earring
Mulina,Sculptures,00355,Giancarlo Biagi,Bronze,16.25 in,,Edition #4/12
Blue Bird,Sculptures,00881,Vistosi,Glass,,,sculpture; modern art; bird
Black Cylinder #13,Sculptures,00872,Dale Chihuly,Glass,Height: 11 in.; Width: 10 in.; Depth: 10 in.,,Sculpture
Cara de Angel I | Angel Face I,Sculptures,00481,Mexico,Wood carved; Gold leaf,15 x 65 x 15 cm,18th Century,sculpture; religious; angel; It must have signs of being detached violently from a main piece.
Clay Statue of Standing Figurine Wearing Crown,Sculptures,01049,,Clay,23.2 x 6.5 cm,,sculpture; person; standing; crown; dress
"Large Rhino Sculpture, Blue Chalcedony, Ruby and Quartz",Sculptures,00911,Zadora Limited,Chalcedony; Ruby; Quartz,,20th Century,"""Zadora"" signature and possible engraved goldsmith initials"
Kali Jambala,Sculptures,00258,Asian,Bronze gilt,8 in,16th Century,sculpture; standing figure; Hinduism
Lizog,Sculptures,00882,Dana Clark,Alabaster,7 x 12 x 12 in,1986,sculpture; frog; white; Not signed
Formosa Brown and Pink Macchia with Teal Lip Wraps,Sculptures,00872,Dale Chihuly,Glass,Height: 10 in.; Width: 26 in.; Depth: 17 in.,,Sculpture
Payne's Gray Basket with Mars Red Drawing,Sculptures,00872,Dale Chihuly,Glass,Height: 9 in.; Width: 10 in.; Depth: 10 in.,,Sculpture
The Journey,Sculptures,00558,Bob Wilfong,Bronze,20 in,20th Century,sculpture; abstract art; circle; Signed of artist engraved on outer base of sculpture; #1/15
"Owl Sculpture, Labradorite and Petrified Wood",Sculptures,00911,Zadora Limited,Labradorite; Gold; Petrified wood,,20th Century,"sculpture; owl; ""Zadora"" signature and possible engraved goldsmith initials"
Crista de la Columna,Sculptures,01141,Unknown,Wood; Glass,Height: 50 cm.; Width: 50 cm.; Depth: 8 cm.,18th Century,"Wooden, carved sculpture with glass eyes; Fissure on the right arm; AFI/DGAPII/4508/09/0386-BC"
Lilac Macchia Set with Blue and Black Lip Wraps,Sculptures,00872,Dale Chihuly,Glass,Height: 9 in.; Width: 25 in.; Depth: 17 in.,,Sculpture
Clay Figurine of Woman Seated with Hands on Knees,Sculptures,01049,,Clay,15 x 5 cm,,sculpture; woman; sitting; hat; shawl
Yellow Boy,Sculptures,00596,Chilmark; Don Polland,Pewter,10.25 in,,sculpture; Native American; man; standing; rifle; pistol; Number 200 of 1200
Joan of Arc as a Prisoner,Sculptures,00091,Louis Ernest Barrias,Bronze,13.75 in,1892-1905,sculpture; woman; standing; prisoner; tied; Inscription on base
"Mind, Body, Spirit",Sculptures,00969,George Carlson,Bronze,24 in,1992,"sculpture; nude man; standing; Signed ""Carlson""; Edition #8/21"
Daydreams,Sculptures,01027,Erte,Bronze; Gold leaf,14 x 18.25 in,1985,sculpture; nude woman; reclining; bench; pillow; smoking; cigarette holder; cigarette; Number 38/50
Labrador Retriever,Sculptures,00547,Kenneth Bunn,Bronze,6 in,20th Century,"sculpture; dog; sitting; ""Bunn"" engraved on sculpture; #1/35"
Statue of Male in Gray Clay,Sculptures,01049,,Clay,4.10 cm,,sculpture; bust; male; beard; hat
Abstract Marble Sculpture in Pink Terrazzo,Sculptures,00565,Gloria Klar,Marble,36 x 36 in,20th Century,"sculpture; abstract art; ""Gloria Klar"" engraved on sculpture"
Clay Sculpture of Woman Sitting on Throne,Sculptures,01049,,Clay,4.50 x 5.20 cm,,sculpture; woman; sitting; throne; hat
Santa Clara,Sculptures,00978,Luisito Lujan,Wood,14 in,1989-1990,sculpture; religious; woman; standing; saint; nun
Joan of Arc,Sculptures,00081,,Silver; Ivory; Semi-precious stone,,,sculpture; woman; standing; armor; flag
When Beavers Come High,Sculptures,00452,J. Shirley Bothum,Bronze,30 in,,sculpture; horse; bucking; man; riding; #15/24
Kiowa Princess,Sculptures,00596,Don Polland; Chilmark,Pewter,7.75 in,,sculpture; Native American; woman; standing; Number 200 of 1200.
Eros-Cherub,Sculptures,01160,Roman; Hatra,Marble,,,sculpture; child; bust
Peccato Originale,Sculptures,00056,Erte,Bronze,23.5 x 21 in,1990,bas relief; nude woman; nude man; tree; apple; Adam and Eve; #486/499
Ulysses -- Large,Sculptures,00604,John Dreyfuss,Cast bronze,Length: 264 in.; Width: 48 in.; Weight: 1695 lbs.,1992,"signature, edition no. and foundry mark (ART or Tallix) marked on base"
Bud Form,Sculptures,00667,Alice Ballard Munn,Ceramic,16 in,,
Hollow Clay Figurine of Nude Male,Sculptures,01049,,Clay,6.30 x 3.30 cm,,sculpture; nude man; kneeling
Brown Citrine Frog Sculpture,Sculptures,00361,Andreas von Zadora Gerlof,Citrine; Green tourmaline; Gold,3.5 x 7 x 14 in,,
Oscar,Sculptures,01024,,Metal; Gold plated,13.5 in,2000,"sculpture; Academy Awards; nude man; standing; Engraved serial no. 3030, 3033 and 3044, lower rear base of awards"
We Really met in Rome/I thought he was my Rome Prize,Sculptures,00721,Pat Lasch,Casting plaster,,1994,sculpture; face; egg
Mammiform Idol (Zemi),Sculptures,00850,,Stone,8 x 4 x 3 in,,sculpture; face
Abstract Sculpture in White Marble,Sculptures,00565,Henry Klar,Marble,48 in,20th Century,"sculpture; abstract art; white; Signed ""Henry K"""
Nude Woman,Sculptures,00595,Louis W. Durchanek,Arbutus or madrona wood,Height: 18 in.,1968,
Crystal Fire,Sculptures,00974,Michael Wilkinson,Acrylic,17.5 in,2000,"sculpture; women; three; Signature ""Wilkinson""; #90/900"
Milarpa,Sculptures,00258,Asian,Bronze gilt,5 in,1850-1900,"sculpture, seated figure, man"
La Vierge | The Virgin,Sculptures,00958,"Alphonse Peters, van Luik",Oak gilt,87 cm,1901,statue; religious; Virgin Mary; standing
Who was that Masked Man,Sculptures,00538,John Patrick Kelly,Bronze,15 in,,sculpture; bust; man; mustache; headband; Kelly signature on left shoulder; One of a kind piece - no edition number
Citrine Camel,Sculptures,00911,Zadora Limited,Citrine; Ruby; Gold; Diamond,,20th Century,"sculpture; camel; ""Zadora"" signature and possible engraved goldsmith initials"
Eagle in Free Flight,Sculptures,00529,Tom Ames,Glass,11 x 9.5 in,,sculpture; eagle; flying; Signed
Citrine Lions,Sculptures,00911,Zadora Limited,Citrine; Gold,,20th Century,"sculpture; lion; ""Zadora"" signature and possible engraved goldsmith initials"
Fine White Nephrite Vase and Chimera,Sculptures,00269,,Jade,8.5 x 4.75 in,18th Century,
Abstract Marble Sculpture with White Stripe,Sculptures,00565,Henry Klar; Gloria Klar,Marble,24 x 18 in,20th Century,sculpture; abstract art; black; white; No markings.
The Apple Tree,Sculptures,00238,Simon Yavitz,Azurite; Malachite; Gold,14 in,1969,sculpture; tree; rock
High Hopes,Sculptures,00521,McGonagle,Bronze,40 x 17 x 17 in,1995,"sculpture, boy, baseball; The piece is 3/20 @ 95 on the bat etched ""McGonagle High Hopes"""
Centaur,Sculptures,00091,Edgar Degas,Bronze,9 3/8 x 6 3/8 x 3 7/8 in,,
Stone Carving of Two Birds,Sculptures,00589,Inuit,Stone,5.5 in,,carving; birds; two
Marble Head of Deity Statue in Hercules Temple,Sculptures,01160,Temple VII,,,,sculpture; woman; bust; headdress
Black Belgian Marble Sculpture,Sculptures,00565,Henry Klar,Marble,60 in,20th Century,"sculpture; abstract art; black; Signed ""Henry K"""
Verdant Green Macchia with Norse Blue Lip Wrap,Sculptures,00872,Dale Chihuly,Glass,Height: 20 in.; Width: 23 in.; Depth: 22 in.,,Sculpture
Pan of Rohalian,Sculptures,00930,Frederick William MacMonnies,Bronze,30 in,1890,"sculpture; boy; flute; Pan; globe; Salt deposits on lower base, mottling on globe; missing one pipe to a two pipe flute."
Le Soleil,Sculptures,00084,,Bronze,18 x 8 x 7 in,,sculpture; figure; standing
Abstract Marble Sculpture with Cut Designs,Sculptures,00565,Henry Klar; Gloria Klar,Marble,24 in,20th Century,sculpture; abstract art; No markings.
Abstract Framed Sculpture in Pink and Brown,Sculptures,00900,Anthony Quinn,Wood,28 x 22 in,1981-1982,sculpture; abstract art; pink; brown; Not signed
"Wild Boar Sculpture, Citrine and Diamond",Sculptures,00911,Zadora Limited,Citrine; Gold; Diamond,,20th Century,"sculpture; boar; ""Zadora"" signature and possible engraved goldsmith initials"
Tiresius - Winged Creature,Sculptures,00548,Christopher Haworth,Steatite,14 in,1983,sculpture; abstract art; black; Not signed
The Galla Gradiva,Sculptures,00018,Salvador Dali,Gold; Silver,9.5 x 9.75 in,,sculpture; woman; butterfly; Not signed.; #57 on wing
Lavender Macchia Set with Deep Red Lip Wraps,Sculptures,00872,Dale Chihuly,Glass,Height: 5 in.; Width: 15 in.; Depth: 10 in.,,Sculpture
Cloudy Gray Macchia with Charcoal Lip Wraps,Sculptures,00872,Dale Chihuly,Glass,Height: 10 in.; Width: 20 in.; Depth: 20 in.,,Sculpture
Bronze Hindu Goddess,Sculptures,00674,,Bronze,"51"" x 18"" x 12""",,
Rolls Phillipe Watch,Sculptures,00994,Liao Yibai,Stainless steel,Width: 31.13 in.; Diameter: 27.13 in.; Weight: 64 lbs.,2009,signed and numbered #2/3
Valedictorian,Sculptures,00160,Gallo,Fiberglass,6 ft,,sculpture; man; standing; tie; coat
Prussian Green Cylinder with White Drawing,Sculptures,00872,Dale Chihuly,Glass,Height: 15 in.; Length: 8 in.; Depth: 8 in.,,Sculpture
Black Cylinder,Sculptures,00872,Dale Chihuly,Glass,Height: 15 in.; Width: 9 in.; Depth: 9 in.,,Sculpture
Tempest Study,Sculptures,00534,Tom Bennett,Bronze,13 in,,sculpture; nude woman; dancing; Unsigned; #52 stamped on bottom
Memoir,Sculptures,00526,Frederick Hart,Glass,12 1/8 in,20th Century,sculpture; nude woman; bust; #5/300
Winter,Sculptures,00355,Jill Burkee,Bronze,6 in,1985,sculpture; woman; standing; cloak; wind; Edition #1/18
Reliquary Guardian Figure,Sculptures,00148,Kota; Africa,,12 in,,sculpture; African; figure
Olive Green Macchia with Cadmium Orange Lip Wrap,Sculptures,00872,Dale Chihuly,Glass,Height: 27 in.; Width 32 in.; Depth: 34 in.,,Sculpture
River God,Sculptures,00355,Giancarlo Biagi,Bronze,10 in,1989,sculpture; nude man; sitting; Foundry Mark
Gilt Eagle,Sculptures,00401,,Crystal; Gilt,,,sculpture; eagle
Snow Goose,Sculptures,00701,Joe Halko,Bronze,11 x 6 x 6 in,,sculpture; goose; # 1 of 12
Firebird,Sculptures,00552,Erte,Bronze,16.5 in,,sculpture; nude woman; tail; wings; feathers; Signed; #92/250
Nude Female,Sculptures,01031,Diane Peters,Bronze; Lucite,7 in (with base),1986-1987,sculpture; nude woman
Dorje Palmo,Sculptures,00258,Tibetan,Bronze,5.5 in,10th Century,sculpture; standing figure
Astra,Sculptures,00402,Erte,Bronze; Polychrome,12 in,,sculpture; Unsigned; #326/500
Abstract Family Sculpture,Sculptures,00718,Aharon Bezalel,Bronze,48 in,,"sculpture; abstract; 11 of 12 on right side of male figure, artist's signature on right of male figure"
Medicine Bow,Sculptures,00555,Rusty Phelps,Bronze,59 in,1977,sculpture; man; Native American; bird; eagle; Signed; #13
Bronze Figure Painted Black,Sculptures,00565,Henry Klar; Gloria Klar,Bronze,18 in,20th Century,sculpture; modern art; figure; standing; black; No markings.
Clay Sculpture of Child,Sculptures,01049,,Clay; Paint,6.70 x 4.50 x 2.10 cm,,sculpture; nude child; sitting
Visions in Bronze: Love Goddess,Sculptures,00528,Erte,Bronze,19.75 in,,sculpture; woman; standing; gown; bird; #6/375
Running Cheetah,Sculptures,00547,Kenneth Bunn,Bronze,10 in,20th Century,"sculpture; cheetah; running; ""Bunn"" engraved on sculpture; #9/21"
Deep Night Macchia with Royal Blue Lip Wrap,Sculptures,00872,Dale Chihuly,Glass,Height: 10 in.; Width 23 in.; Depth: 18 in.,,Sculpture
American Decoy,Sculptures,00604,John Dreyfuss,Cast bronze,Height: 38 in.; Length: 51 in.; Width: 21 in.; Weight: 450 lbs.,1992,"signature, edition no., foundry mark (ART or Tallix) on base"
Yellow Sienna Marble Sculpture,Sculptures,00565,Henry Klar; Gloria Klar,Marble,40 in,20th Century,sculpture; abstract art; circular; Unknown markings
Pebble Beach,Sculptures,00534,Bennett Sculpture Gallery,Bronze,,,
Bodhisattva,Sculptures,00258,Tibetan,Bronze gilt,,19th Century,"sculpture,seated figure, Buddhism"
Red Marble Abstract Geometric Shaped Sculpture,Sculptures,00565,Henry Klar; Gloria Klar,Marble,18 x 12 in,20th Century,sculpture; abstract art; red; white; No markings.
Neo-Assyrian Stone Stele,Sculptures,00454,Neo-Assyrian,Stone,,859-824 B.C.,Inscription in cuneiform script to the god Samnuha. ISIL looted antiquity.
White Carrerra Marble Sculpture,Sculptures,00565,Henry Klar; Gloria Klar,Marble,30 x 18 in,20th Century,sculpture; abstract art; white; No markings
Falcon Sculpture,Sculptures,00361,Andreas von Zadora Gerlof,Rutilated smoky quartz; Citrine; Gold; Silver,16 x 10 in,,
The Law,Sculptures,00452,Roy Lennberg,Bronze,12 in,,sculpture; horse; man; riding; #3/20
"Sculpture of Figure Standing, Yellow Sienna Marble",Sculptures,00565,Henry Klar,Marble,42 in,20th Century,"sculpture; modern art; figure; standing; Signed ""Henry K"""
Bronze Sculpture of Winged Man,Sculptures,00240,France; A. Mercie; Gloria Victis; F. Barbedienne,Bronze,32 x 7 x 7 in,,"sculpture; man; wings; sword; Signed A. Mercie, written around periphery of base is Gloria Victis, also around the base is #730 F. Barbedienne, Fondeur, Paris; #730"
Nathan Hale,Sculptures,00930,Frederick William MacMonnies,Bronze,28 1/8 in,1890,"sculpture; Nathan Hale; standing; Buff mark on tip of nose; small white mark on back of bronze base, left hand side."
Senor Justo Juez (Lord Fair Judge) or The Christ of the Patience,Sculptures,01189,,"wood, stucco, glass, natural hair, felt",72 cm x 52 cm X 72 cm,,New Hispanic Baroque of the XVIII Century
Pole sculpture on wood column,Sculptures,01184,Robert Indiana,Gesso on found wood column and base,63 1/2 in x 13 3/8 in x 13 3/8 in,Approximately 1964,
Greek Marble Head,Sculptures,01110,Greece,Marble,12.00 cm,500 BC,sculpture; woman; head; Nose and lower part of face missing.
Cream and Blossom Pink Macchia with Black Lip Wraps,Sculptures,00872,Dale Chihuly,Glass,Height: 9 in; Width: 28 in; Depth: 24 in,,Sculpture
Appassionata,Sculptures,00558,Frederick Hart,Acrylic,25 in,20th Century,"sculpture; faces; man; woman; Signature ""F Hart"" engraved on outer base of the sculpture; #123/395"
Pre-Columbian Frog Sculpture,Sculptures,00409,Pre-Columbian,Jade,,,sculpture; Pre-Columbian; frog
Country Road,Sculptures,00452,Lowell Davis,Bronze,7 in,,sculpture; dog; mailbox; #44/75
Spring (bronze),Sculptures,00355,Giancarlo Biagi,Bronze,7.75 in,1982,sculpture; nude man; nude woman; walking; jumping; Foundry mark
Man Helping Woman Off Horse,Sculptures,00081,Meissen,Porcelain,12 in,,sculpture; woman; man; horse
Love Goddess,Sculptures,00149,Erte,Bronze,19.75 in,1989,"sculpture; woman; standing; bird; ""AP 30/37"" stamped on base; # 30 of 37"
Demon Queller,Sculptures,00258,Nepalese,Bronze gilt,8 in,15th Century,"sculpture,figure; Hinduism"
Khmer Statue,Sculptures,00229,Cambodia; Khmer,Stone,33.25 in,,sculpture; nude woman; skirt
Sleep Marcel,Sculptures,00712,Richard MacDonald,Cast bronze,"Height: 17""; Width: 9""; Diameter: 8""",1990s,limited edition of 175
Female Bust,Sculptures,00674,,Stone,"25"" x 12"" x 10.5""",,
Tang Horse,Sculptures,00387,T'ang Dynasty,Ceramic,29 in,8th Century,statue; horse
Black Carrerra Marble Sculpture,Sculptures,00565,Henry Klar; Gloria Klar,Marble,20 in,20th Century,sculpture; abstract art; black; No markings.
Mama Mia,Sculptures,00776,Pierson,Cast,41.27 x 21.59 x 7.62 cm,1998,bas relief; wolf; dog; hat; shirt; heart
"Untitled, Maurice Bouval bronze of Standing Woman",Sculptures,00091,Maurice Bouval,Bronze,17.5 in,,"sculpture; woman; standing; Inscribed ""M. Bouval"" on base. Stamped at corner, along side of base"
Shirt With Objects on a Chair,Sculptures,00968,Claes Oldenburg,Paint fabric plaster,11 1/4 x 3 5/8 x 1 1/2 in,1962,sculpture; wallet; unsigned
Little Mustang Mare,Sculptures,00724,Grant Speed,Bronze,12 x 12 1/4 x 5 1/8 in,,sculpture; horse; #25/30
Jade Sea Lion,Sculptures,00589,Chinese,Jade,4 in,,carving; sea lion
Negligee,Sculptures,00581,Erte,Bronze,17 in,20th Century,sculpture; art deco; woman; standing; gown; belt; Numbered on base 276/300
Goddess of Victory,Sculptures,01160,Hatra; Iraq,Copper,sculpture; woman; bust,,
Orange Bird,Sculptures,00881,Vistosi,Glass,sculpture; bird,,
Spotted Vessel with Cobalt Leaf Piccolo Venetian,Sculptures,00872,Dale Chihuly,Glass,7 x 4 in,,Sculpture
Silver Black Ikebana with Four Stems,Sculptures,00872,Dale Chihuly,Glass,16 x 23 in,,Sculpture
Roman Marble Head,Sculptures,01085,Roman,Marble,Height: 24 cm; Length: 21 cm; Width: 10 cm,200 B.C.-400 A.D.,bust; woman; Inventory No
Dream Fragment I,Sculptures,00068,Michael Wilkinson,Acrylic,18 in,1988,sculpture; nude man; nude woman; #57/300
Squash Blossom,Sculptures,00524,Susan Kliewer,Bronze,,,sculpture; Native American; woman; standing; scarf; Number 6/45
Des anges | Angels,Sculptures,00957,,Oak,50.00 cm,1902,statue; religious; angel; Don du H. Massart en 1902 (after inscriptions); Three statues of angels
Reliquary Figure,Sculptures,00148,Fang; Africa,Wood,24 in,Circa 1890,sculpture; African; man; figure; standing
Zuni Man,Sculptures,00524,Susan Kliewer,Bronze,,,sculpture; Native American; man; bust; earring; bandana; Number 19/35
"Rock Crystal Pelican Sculpture, Citrine and Diamond",Sculptures,00911,Zadora Limited,Rock crystal,,20th Century,"No Image Associated with this Item; ""Zadora"" signature and possible engraved goldsmith initials"
Hunting Partners,Sculptures,00334,Steve Varner,Bronze,14 in,1979,sculpture; nude woman; lion; Edition #15/50
Effigy/Guardian,Sculptures,00507,Olmec; Colima; Mexico,Stone,8 in,400-800,sculpture; Pre-Columbian; figure
St. Bernard de Clairvaux,Sculptures,00958,,Oak,81.00 cm,15th Century,statue; religious; man; standing
Cara de Angel II | Angel Face II,Sculptures,00481,Mexico,Wood carved; gold leaf,15.00 x 65.00 x 15.00 cm,18th Century,sculpture; religious; angel; None; It must have signs of being detached violently from a main piece.
The Rose,Sculptures,00776,Richard MacDonald,Bronze,19 x 13 x 9 in,1998,sculpture; ballerina
Struggle,Sculptures,00615,Lois Byers Hamilton,Bronze,9.5 x 6 in,2000,sculpture; horse; Foundry stamp on end of bronze sculpture; signature of Lois Byers Hamilton on lower right side
Green Italian Marble Sculpture,Sculptures,00565,Gloria Klar,Marble,42 x 30 in,20th Century,"sculpture; abstract art; Signed ""Gloria K"""
"Plaster, Mother and Child",Sculptures,00298,Francisco Zuniga,Plaster,16 x 12 in,2000,sculpture; mother; child; signed on bottom
Song for Syrinx,Sculptures,00789,Ailene Fields,Bronze,18 in,1985-1995,sculpture; nude man; standing; flute; horns; pan; signed
Trumpet Player,Sculptures,00355,Giancarlo Biagi,Bronze,16.25 in,1986,sculpture; nude man; standing; trumpet; music; Foundry mark
Accordian Player (bronze),Sculptures,00355,Giancarlo Biagi,Bronze,16.25 in,1986,sculpture; nude man; standing; accordian; music; Foundry mark
Visions in Bronze: Wisdom,Sculptures,00528,Erte,Bronze,16 in,,sculpture; woman; standing; gown; fan; #130/375
Compacted Solarized Band with Gray,Sculptures,00739,Thomas Patti,Glass,2 1/4 x 6 1/16 x 3 15/16 in,1987,sculpture; abstract art; blue; none
Orange Seamform with Yellow Lip Wrap,Sculptures,00872,Dale Chihuly,Glass,Height: 15 in; Width: 12 in; Depth: 11 in,,Sculpture
Clay Statue of Standing Male with Angry Features,Sculptures,01049,,,16.70 x 7.70 cm,,sculpture; man; angry
Snow,Sculptures,00953,Heinz Warneke,Plaster metal,7 x 9 in,Circa 1951,sculpture; snowflakes; no signature
St. Joseph,Sculptures,00952,,Wood,54 in,18th Century,statue; religious; man; beard; standing
Over the Wave,Sculptures,00516,Angelo Basso,Bronze,22.5 in,20th Century,sculpture; nude woman; #131
Wooden African Carving of Man Wearing Dik Dik Headpiece,Sculptures,00096,Africa; Congo,Wood,8 in,,carving; African; figure; headdress
Little Girl With Basket,Sculptures,00908,Adolf Sehring,Bronze,,1994,"sculpture; girl; standing; basket; ""A. Sehring"""
Unfettered,Sculptures,00877,Albin Polasek,Bronze; gold; leaf,Height: 56 in; Width: 17 in; Diameter: 14 in,1924,"sculpture; nude woman; standing; Signed ""Albin Polasek - 1924"" at the right rear of the base"
Where All Dreams Live,Sculptures,00538,John Patrick Kelly,Bronze,3 x 5 in,,sculpture; nude man; signature case into piece; Edition Number 1/30
