,Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
377,French Mantel Clock,"Clock, Timepiece", 00240,, Gold plated bronze, 24.5 x 20.25 x 8 in, circa 1870, clock; horse; running; man; reclining; riding; Signed Muenier H DuRoi
393,Bielauscheck Mantle Clock,"Clock, Timepiece",00694,Franz Bielauscheck,Wood; metal; ebony; wood; gilding; glass; steel,9.25 x 6.5 x 13.625 in,,clock; signed Franz Bielauscheck in Partubitz on center of clock face; white sticky label with inventory number 121.2008.254
376,Cheese Clock with Mice,"Clock, Timepiece", 00361, Andreas von Zadora Gerlof," Rock crystal, gold, diamonds"," 4"" x 5""",,
384,"Red Tortoise Shell Clock, Francis Perigal","Clock, Timepiece", 00052, Francis Perigal, Tortoise shell; gold, 14 in, Circa 1760," clock; Maker ""Francis Perigal"" on clock"
403,Sioux Roach Headdress,Clothing and Costumes,00864,Sioux,"horsehair, hawk feathers",,1900s,headdress; mint condition
400,Umbrella/Parasol Handle,Clothing and Costumes,00956,Michael Evlampievich Perchin,Glass; gold; enamel,,,Umbrella handle
454,Coin Depicting Jesus Christ,Coins and Paper Money,01057,,coin; Jesus Christ; figures,,,
411,Coin With Writing on Both Sides,Coins and Paper Money, 01049,, coin; writing,,,
439,Coin Depicting Jesus Christ,Coins and Paper Money,01057,,coin; Jesus Christ; figures,Diameter: 2.30 cm,,
429,Coin Depicting Jesus Christ,Coins and Paper Money,01057,,coin; Jesus Christ,Diameter: 2.30 cm,,
426,Gold Coin Depicting Portrait of an Emperor Facing the Right Wearing a Crown with Pearls. (facial features not visible),Coins and Paper Money,01057,,Gold, Diameter: 1.20 cm,,coin; portrait; man; royalty; emperor; crown; cross
438,Coin Depicting Bearded Emperor,Coins and Paper Money,01049,,coin; man; beard; royalty; emperor; cross,,,
444,1889 New Orleans mint Morgan dollar coin 2,Coins and Paper Money,01205,,,Diameter: 38.1 mm,1889,coin; dollar; mint; New Orleans; 1889
1233,1864 John C. Fremont Medal,Collectibles,01194,,Silver,40 mm,1864,MS-66 (NGC)
1318,"Grand National Steeplechase Trophy, 1923, Aintree",Collectibles,00638,English,Silver,,1923,"1994.12.21; engraved ""Stephen Sanford's Sergeant Murphy, 1923, Aintree"""
1234,1844 James K. Polk Medal,Collectibles,01194,,White metal,35 mm,1844,Unc details; improperly cleaned
1214,Citigo Style Shell Gorget,Collectibles,00221,"Native American artifact, Mississippian culture",,Approximately 7 inches in diameter,Circa A.D. 1400-1600,"A large engraved disk cut from a marine shell depicting a stylized rattlesnake. Excavated in 1928 from Little Egypt, Murray County, Georgia, USARSOM Catalog number"
3084,20 Dibujos #1,Collectibles, 00861, Jose Clemente Orozco, Lithograph, 21.75 x 15.5 in, 1945," poster; woman; 20 Dibujos de Jose Clemente Orozco de la Exposicion de Agosto de 1945 en El Colegio Nacional, Mexico 1945"
1219,Ceramic pot by Santana & Adam,Collectibles,01139,Santana & Adam,Ceramic pot,Height: 4 in; Width: 3.75 in,,"Signed ""Santana--Adam"""
497,Peddlar Lady (doll),Dolls and Figurines,00787,Dorothy Heizer,,11 in,1952,doll; woman; gown; apron; basket; bonnet
495,Classic Doll in Blue Bonnet,Dolls and Figurines,00909,,Porcelain; doll; baby; brunette,,,
490,Clarissa Daughter of King of Gascony (doll),Dolls and Figurines,00787,Dorothy Heizer,,9 in,1952,doll; woman; gown; royalty; hat; veil
